found_at,company,title,location,url
2026-07-07T01:01:26.316598+00:00,Aggregator,"Client, Partnerships & Marketing Development Manager","The City, Central London",https://www.adzuna.co.uk/jobs/land/ad/5783308766?se=DFT-SZ958RGE29fH3ScMfg&utm_medium=api&utm_source=0635bd81&v=C6D2C353ABCD031461AB0978A73A4B82DED2DA04
2026-07-07T01:01:26.316598+00:00,Aggregator,"Client, Partnerships & Marketing Development Manager","London, UK",https://www.adzuna.co.uk/jobs/land/ad/5783308478?se=DFT-SZ958RGE29fH3ScMfg&utm_medium=api&utm_source=0635bd81&v=659F0B42C612E1EA4D89DDE20A3E4480820DC458
2026-07-07T01:01:26.316598+00:00,Aggregator,Digital Marketing Manager - Luxury Digital Agency,"London, UK",https://www.adzuna.co.uk/jobs/details/5759164101?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Digital Marketing Manager,"London, UK",https://www.adzuna.co.uk/jobs/details/5790429694?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Head of Brand & Marketing,"Stockport, Greater Manchester",https://www.adzuna.co.uk/jobs/land/ad/5790381283?se=ivTeSp958RGW89_mIOpt3A&utm_medium=api&utm_source=0635bd81&v=5778F48EC1615F05B8E0036D4963A20B073C7E7D
2026-07-07T01:01:26.316598+00:00,Aggregator,Head of Marketing & Communications,"West Midlands, UK",https://www.adzuna.co.uk/jobs/details/5790021233?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Head of Brand Content Comms and PR 6 Month FTC,"London, UK",https://www.adzuna.co.uk/jobs/details/5789988591?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Growth Marketing Lead,"London, UK",https://www.adzuna.co.uk/jobs/details/5789988301?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Digital Brand Designer,"Leeds, West Yorkshire",https://www.adzuna.co.uk/jobs/details/5789988108?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Lifecycle & Content Lead,"London, UK",https://www.adzuna.co.uk/jobs/details/5789987721?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Growth Marketing Lead,"London, UK",https://www.adzuna.co.uk/jobs/details/5789987584?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,"DTC Brand Marketing Manager, EMEA - Saucony","London, UK",https://www.adzuna.co.uk/jobs/details/5789974614?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Brand Marketing Manager,"London, UK",https://www.adzuna.co.uk/jobs/land/ad/5789971127?se=ivTeSp958RGW89_mIOpt3A&utm_medium=api&utm_source=0635bd81&v=D4884A20C4FB1A4D565C014F8CCA3BB29425EDB0
2026-07-07T01:01:26.316598+00:00,Aggregator,Brand Marketing Manager - Luxury Retail,"London, UK",https://www.adzuna.co.uk/jobs/details/5789865420?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Trainee Brand Ambassador No Experience Needed,"East London, London",https://www.adzuna.co.uk/jobs/details/5789618180?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Content Marketing Executive,"London, UK",https://www.adzuna.co.uk/jobs/details/5789616998?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Digital Marketing Manager,"London, UK",https://www.adzuna.co.uk/jobs/details/5789479861?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Marketing Manager UK - Tatcha,"South Bank, South East London",https://www.adzuna.co.uk/jobs/details/5789182484?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Marketing Communication Intern,UK,https://www.adzuna.co.uk/jobs/details/5789180339?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Digital Marketing Analyst,"London, UK",https://www.adzuna.co.uk/jobs/details/5789180294?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Marketing Manager,"London, UK",https://www.adzuna.co.uk/jobs/details/5789180162?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,"Senior Manager, Brand Marketing","London, UK",https://www.adzuna.co.uk/jobs/details/5789179912?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Brand Services Print Assistant,"The City, Central London",https://www.adzuna.co.uk/jobs/details/5788829066?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Brand and Corporate Communications Lead,UK,https://www.adzuna.co.uk/jobs/details/5788133975?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Brand & Marketing Executive,UK,https://www.adzuna.co.uk/jobs/land/ad/5787727151?se=ivTeSp958RGW89_mIOpt3A&utm_medium=api&utm_source=0635bd81&v=6A3EC01A2B4CF4FB55AE14DCD206C3D3D1B10678
2026-07-07T01:01:26.316598+00:00,Aggregator,Marketing Manager,"London, UK",https://www.adzuna.co.uk/jobs/details/5787654911?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Marketing Manager Automotive,"Central London, London",https://www.adzuna.co.uk/jobs/details/5787095931?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,CRM Manager (Credit),"London, UK",https://www.adzuna.co.uk/jobs/details/5786846281?utm_medium=api&utm_source=0635bd81
2026-07-07T01:01:26.316598+00:00,Aggregator,Senior Account Manager – Brand & Culture,"The City, Central London",https://www.adzuna.co.uk/jobs/land/ad/5786792371?se=ivTeSp958RGW89_mIOpt3A&utm_medium=api&utm_source=0635bd81&v=C31983D99A2FC88AFD3B582329FE70D9474051D7
2026-07-07T01:01:26.316598+00:00,Aggregator,Consumer Insights Manager,"Glasgow, Scotland",https://www.adzuna.co.uk/jobs/land/ad/5786784461?se=ivTeSp958RGW89_mIOpt3A&utm_medium=api&utm_source=0635bd81&v=A3A32D5BCAFC0ABC90B0177C072AC8C09DF33429
2026-07-07T01:01:26.316598+00:00,Aggregator,Senior Project Manager - Influencer Marketing,"Stratford, East London",https://www.adzuna.co.uk/jobs/land/ad/5786764012?se=ivTeSp958RGW89_mIOpt3A&utm_medium=api&utm_source=0635bd81&v=BA14D32091870B4B4A3D7AC572754217F4BFA4D4
